"REF_DATE","GEO","DGUID","Fuel type","Vehicle type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-01","Newfoundland and Labrador","2016A000210","Battery electric","Vans","Number of vehicles","Units","300","units","0","v1271719133","2.4.5.1","","..","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Battery electric","Vans","Number of vehicles","Units","300","units","0","v1271719133","2.4.5.1","","..","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Battery electric","Vans","Number of vehicles","Units","300","units","0","v1271719133","2.4.5.1","","..","","","0"
"2023-10","Newfoundland and Labrador","2016A000210","Battery electric","Vans","Number of vehicles","Units","300","units","0","v1271719133","2.4.5.1","","..","","","0"
"2024-01","Newfoundland and Labrador","2016A000210","Battery electric","Vans","Number of vehicles","Units","300","units","0","v1271719133","2.4.5.1","","..","","","0"
"2017-01","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","0","","","","0"
"2017-04","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","0","","","","0"
"2017-07","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","0","","","","0"
"2017-10","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","0","","","","0"
"2018-01","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","2","","","","0"
"2018-04","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","3","","","","0"
"2018-07","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","4","","","","0"
"2018-10","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","1","","","","0"
"2019-01","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","4","","","","0"
"2019-04","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","6","","","","0"
